UserID,Channel,Duration,SATimestamp,RecordDate,RecordTime,DayName,DayPart,ChannelCategory,Name,Surname,Gender,Age,AgeGroup
903994,Trace TV,1899-12-31T00:02:00.000Z,2016-01-04T20:09:00.000Z,2016-01-04,20:09,Monday,Evening,Entertainment,Bernardo ,Hier,male,33,Young Adult
802352,ICC Cricket World Cup 2011,1899-12-31T00:10:06.000Z,2016-03-30T11:04:00.000Z,2016-03-30,11:04,Wednesday,Morning,Sports,Unknown,Unknown,Not Specified,null,Unknown
866125,ICC Cricket World Cup 2011,1899-12-31T00:00:42.000Z,2016-03-30T19:01:00.000Z,2016-03-30,19:01,Wednesday,Evening,Sports,Emerson ,Mccollum,male,30,Young Adult
2425604,ICC Cricket World Cup 2011,1899-12-31T00:00:10.000Z,2016-03-25T17:23:00.000Z,2016-03-25,17:23,Friday,Afternoon,Sports,Tiffani ,Pilot,female,51,Adult
793571,SawSee,1899-12-31T00:01:33.000Z,2016-02-02T19:18:00.000Z,2016-02-02,19:18,Tuesday,Evening,Entertainment,Shelley ,Reisinger,female,9,Teen/Child
793571,Boomerang,1899-12-31T00:00:10.000Z,2016-03-18T18:56:00.000Z,2016-03-18,18:56,Friday,Evening,Kids,Shelley ,Reisinger,female,9,Teen/Child
793571,Channel O,1899-12-31T00:17:15.000Z,2016-03-20T06:25:00.000Z,2016-03-20,06:25,Sunday,Morning,Entertainment,Shelley ,Reisinger,female,9,Teen/Child
793571,Boomerang,1899-12-31T00:01:13.000Z,2016-02-03T08:43:00.000Z,2016-02-03,08:43,Wednesday,Morning,Kids,Shelley ,Reisinger,female,9,Teen/Child
819248,Channel O,1899-12-31T00:04:45.000Z,2016-03-31T12:01:00.000Z,2016-03-31,12:01,Thursday,Afternoon,Entertainment,Unknown,Unknown,Not Specified,null,Unknown
820321,Cartoon Network,1899-12-31T00:00:40.000Z,2016-01-09T10:25:00.000Z,2016-01-09,10:25,Saturday,Morning,Kids,Haywood ,Singer,male,26,Young Adult
892453,Supersport Live Events,1899-12-31T00:00:06.000Z,2016-03-24T11:09:00.000Z,2016-03-24,11:09,Thursday,Morning,Sports,Eli ,Caves,male,34,Young Adult
